date,size,hash,url,datetime
2015-04-20,105218,585738494b4cfb5699844aec8187e3f3,http://data.gdeltproject.org/gdeltv2/20150420234500.export.CSV.zip,2015-04-20 23:45:00
2015-04-21,126951,eb6f48f5f8e2c194a7048d2a05040400,http://data.gdeltproject.org/gdeltv2/20150421234500.export.CSV.zip,2015-04-21 23:45:00
2015-04-22,137446,e646db4bb642105c433a6451c8c2ec64,http://data.gdeltproject.org/gdeltv2/20150422234500.export.CSV.zip,2015-04-22 23:45:00
2015-04-23,166066,6ed12becfe9078d13d49a2fda656dd8b,http://data.gdeltproject.org/gdeltv2/20150423234500.export.CSV.zip,2015-04-23 23:45:00
2015-04-24,115372,a45933821478f1db5e29833446f62264,http://data.gdeltproject.org/gdeltv2/20150424234500.export.CSV.zip,2015-04-24 23:45:00
2015-04-25,78061,405ce404f06fdb9894327e6443c7b116,http://data.gdeltproject.org/gdeltv2/20150425234500.export.CSV.zip,2015-04-25 23:45:00
2015-04-26,67382,62dd175abeb94ad6770bc2371f78e29e,http://data.gdeltproject.org/gdeltv2/20150426234500.export.CSV.zip,2015-04-26 23:45:00
2015-04-27,108690,85ab51dfa6f5d7d4f4c2a2841319fbc6,http://data.gdeltproject.org/gdeltv2/20150427234500.export.CSV.zip,2015-04-27 23:45:00
2015-04-28,152040,0ed6a77571b570b2fc738f22d2b4ad93,http://data.gdeltproject.org/gdeltv2/20150428234500.export.CSV.zip,2015-04-28 23:45:00
2015-04-29,118551,6bc0736b4d00c64076aaa263506eddd3,http://data.gdeltproject.org/gdeltv2/20150429234500.export.CSV.zip,2015-04-29 23:45:00
2015-04-30,120625,67a896d343180b0c29026027a4015b14,http://data.gdeltproject.org/gdeltv2/20150430234500.export.CSV.zip,2015-04-30 23:45:00
2015-05-01,99548,0a16112cb883536eb0531a4104a9397b,http://data.gdeltproject.org/gdeltv2/20150501234500.export.CSV.zip,2015-05-01 23:45:00
2015-05-02,74474,e3b08eac68d8575641905c786b537112,http://data.gdeltproject.org/gdeltv2/20150502234500.export.CSV.zip,2015-05-02 23:45:00
2015-05-03,81931,60868d44b4548cf77723a3e806ccb25a,http://data.gdeltproject.org/gdeltv2/20150503234500.export.CSV.zip,2015-05-03 23:45:00
